,Job_Title,Company
0,Digital Marketing,Let's Brand Up
1,Content Writing,Archies Lifestyle
2,Creative Copy Writing (Ads Film/Video Production),Viacom India LLP
3,Content Writing,Economic Times
4,Creative Copywriting,Viacom India LLP
5,Content Writing,MakeMyTrip
6,Content Writing,Belur Vivekananda Samaj Seva Sanstha.
7,Content Writing,StackGiant Tech Private Limited
8,Content Writing,Tekolutions
9,Content Writing,Oye Busy Technologies Private Limited
10,Non Technical Writing,OxyAI Education Private Limited
11,Content Writing,SpotYourShop
12,Social Media Marketing,Staiir Social Media Marketing
13,Content Writing,Foundrmeet
14,Content Writing,TheWhyCulture
15,Content Writing,Athical Private Limited
16,Content Writing,Aimeee Private Limited
17,Digital Marketing,21Fools Design & Entertainment Private Limited
18,Content Writing,Pods
19,Social Media Marketing,ConnectPlus
20,Content Writing,Blacksheep Network
21,Content Writing,Reliable First Adcon Private Limited
22,Content Writing,Dreams Clues
23,Social Media Marketing,Lagan Mandap
24,Content Writing,Pinkishe Foundation
25,Content Writing,Edten
26,Content Writing,VTULOOP
27,Digital Marketing,Gamahouse Publishing
28,Digital Marketing,DNK Consultancy Services Private Limited
29,Content Writing,Gossipfunda
30,Content Writing,Prepo Pedia
31,Content Writing,RERA Easy
32,Content Writing,Aditya Ghosh
33,Social Media Marketing,Geminid Systems Incorporation
34,Content Writing,Namaste India Foundation
35,Content Writing,TIP Community
36,Content Writing,Chaahe
37,Content Writing,CollegeTips.in
38,Content Writing,Digital Word Of Mouth (WoM)
39,Social Media Marketing,MediaJade
