,Job_Title,Company
0,Digital Marketing,Let's Brand Up
1,Content Writing,Archies Lifestyle
2,Creative Copy Writing (Ads Film/Video Production),Viacom India LLP
3,Content Writing,Economic Times
4,Creative Copywriting,Viacom India LLP
5,Content Writing,MakeMyTrip
6,Content Writing,Tekolutions
7,Content Writing,Oye Busy Technologies Private Limited
8,Non Technical Writing,OxyAI Education Private Limited
9,Content Writing,SpotYourShop
10,Social Media Marketing,Staiir Social Media Marketing
11,Content Writing,Foundrmeet
12,Content Writing,TheWhyCulture
13,Content Writing,Athical Private Limited
14,Content Writing,Aimeee Private Limited
15,Digital Marketing,21Fools Design & Entertainment Private Limited
16,Content Writing,Pods
17,Social Media Marketing,ConnectPlus
18,Content Writing,Blacksheep Network
19,Content Writing,Reliable First Adcon Private Limited
20,Content Writing,Dreams Clues
21,Social Media Marketing,Lagan Mandap
22,Content Writing,Pinkishe Foundation
23,Content Writing,Edten
24,Content Writing,VTULOOP
25,Digital Marketing,Gamahouse Publishing
26,Digital Marketing,DNK Consultancy Services Private Limited
27,Content Writing,Gossipfunda
28,Content Writing,Prepo Pedia
29,Content Writing,RERA Easy
30,Content Writing,Aditya Ghosh
31,Social Media Marketing,Geminid Systems Incorporation
32,Content Writing,Namaste India Foundation
33,Content Writing,TIP Community
34,Content Writing,Chaahe
35,Content Writing,CollegeTips.in
36,Content Writing,Digital Word Of Mouth (WoM)
37,Social Media Marketing,MediaJade
38,Content Writing,Sarkari School
39,Content Writing,Sud Goyal
