,Job_Title,Company
0,Illustrations,Archies Lifestyle
1,Graphic Design,Fashion TV India
2,Graphic Design,Times Internet
3,Graphic Design,Archies Lifestyle
4,Graphic Design,Viacom India LLP
5,Graphic Design,BookMyShow
6,Graphic Design,Sticky India
7,Graphic Design,Varoh Games
8,Graphic Design,Togglebytes Technologies Private Limited
9,Graphic Design,HairForever
10,Graphic Design,We Make Brands
11,Graphic Design,Palnesto
12,Graphic Design,Studio ArC
13,Graphic Design,The Bookwallah Organisation India
14,Graphic Design,Blacksheep Network
15,Graphic Design,Artist Mela
16,Graphic Design,Sports Social
17,Graphic Design,Filing Mantra
18,Graphic Design,Pinkishe Foundation
19,Graphic Design,Hotkhana.com
20,Graphic Design,Kalaghar
21,Graphic Design,Yottol-TheGoodNetwork (WealthTech)
22,Graphic Design,The Loudspeaker
23,Graphic Design,Germa Software Solutions
24,Graphic Design,Foliate Design Studio
25,Textile Design,Homestore 18
26,Graphic Design,Kshitiksha Foundation
27,Graphic Design,Olive And Gray
28,Graphic Design,Ek Ehsaas Foundation
29,Graphic Design,Tripmad
30,Graphic Design,Art Floor
31,Graphic Design,Manavtaa
32,Graphic Design,Target UPSC
33,Graphic Design,ProDigit
34,Graphic Design,DPI Infotech
35,Graphic Design,Kanari Nutrition Private Limited
36,Graphic Design,TriosCo
37,Graphic Design,Real Pensive Private Limited
38,Graphic Design,Petzzing
39,Graphic Design,Coding Junior
