,Job_Title,Company
0,IT (SAP Functional Consulting),Titan Company Limited
1,Web Development,Viacom India LLP
2,Information Technology (IT),Marico Limited
3,C++ Development (QT Creator),IIT Bombay
4,Software Testing,Xiaomi Technology India Private Limited
5,Web Development,Stupid Story Tellers
6,Web Development,StudyDuniya
7,Web Development,Tekolutions
8,WordPress Development,Bluebryn Media
9,Web Development,IronList
10,Flutter Development,BinaryDots Technology Private Limited
11,Web Development,Shrivastava Motocorp Private Limited
12,Web Development,Legal Clinics
13,Web Development,Global Child Prodigy Awards
14,Mobile App Development,Nogozo Private Limited
15,Mobile App Development,Albatross Media & Entertainment
16,Web Development,Vision Multimedia
17,Embedded Systems Programming,SqM Technologies
18,Blockchain Development,State Mount Capital
19,Software Development,State Mount Capital
20,Web Development,Hustlestan
21,Mobile App Development,SmartApps
22,PHP Development,SmartApps
23,Software Automation Testing,Katchin Tech Private Limited
24,Web Development,Manavtaa
25,Web Development,Winlysis Private Limited
26,Mobile App Development,Proffus
27,Web Development,Livasys IT Solutions
28,ReactJS Development,BizReputations
29,WordPress Development,GrowthGear
30,Microsoft Power BI Development,Pianalytix Edutech Private Limted
31,Mobile App Development,Creative Guns Private LIMITED
32,Web Development,Edukul (A TopTrove Foundation Initiative)
33,Mobile App Development (React Native),Redpositive Service (OPC) Private Limited
34,Web Development,WriteSoft
35,Software Testing,Gigahex
36,Front End Development,Walkover Web Solutions Private Limited
37,Web Development,Devtaa Group
38,WordPress Design,Honest Designs
39,React Native Development,ApexSkill
