,Job_Title,Company
0,Business Development (Sales),Omysha Foundation
1,Marketing,BYJU'S The Learning App
2,Marketing,BYJU'S The Learning App
3,Business Development (Sales),BYJU'S - The Learning App
4,Marketing,BYJU'S The Learning App
5,Marketing,LBB (Little Black Book)
6,Marketing,BYJU'S The Learning App
7,Marketing,BYJU'S The Learning App
8,Marketing,Confederation Of Indian Industry (CII)
9,Marketing,Viacom India LLP
10,Marketing,Decathlon Sports India
11,Marketing,BYJU'S - The Learning App
12,Marketing,Times Internet
13,Sales Operations,BookMyShow
14,Campus Ambassador,IIT Delhi
15,Business Development (Sales),Decathlon Sports India
16,Business Development (Sales),Times Internet
17,Marketing,BYJU'S - The Learning App
18,Campus Ambassador,MECHANICA IIT MADRAS
19,Marketing,BYJU'S The Learning App
20,Marketing,BYJU'S The Learning App
21,Marketing,BYJU'S The Learning App
22,Marketing,BYJU'S The Learning App
23,Business Development (Sales),LIC
24,Marketing,BYJU'S - The Learning App
25,Marketing,BYJU'S - The Learning App
26,Marketing,BYJU'S The Learning App
27,Marketing,BYJUS The Learning App
28,Marketing,Tech Sells
29,Marketing,Do.Yoga
30,Marketing,Insane AI
31,Business Development (Sales),Padhhigh
32,Business Development (Sales),SpotYourShop
33,Business Development (Sales),ToTheDigital
34,Business Development (Sales),MandatoryTrendz
35,Marketing and Strategy,Kochiva
36,Business Development (Sales),Prosync Infotech Private Limited
37,Marketing,Tridashay Private Limited
38,Business Development (Sales),Innovators And You
39,Investors And VC Outreach,StartupLanes
